"","tpa","qmd.3in","qmd.4in","qmd.5in","qmd.6in","qmd.7in","qmd.8in","qmd.9in","qmd.10in","qmd.11in","qmd.12in","qmd.13in","qmd.14in","qmd.15in","qmd.16in","qmd.17in","qmd.18in"
"36",675,33.13667693,58.90964787,92.0463248,132.5467077,180.4107966,235.6385915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",700,34.36396126,61.09148668,95.45544794,137.455845,187.092678,244.3659467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",725,35.59124559,63.27332549,98.86457108,142.3649824,193.7745593,253.093302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",750,36.81852992,65.4551643,102.2736942,147.2741197,200.4564407,261.8206572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",774.7926557,38.03563543,67.61890744,105.6545429,152.1425417,207.082904,270.4756297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",775,38.04581425,67.63700311,105.6828174,152.183257,207.138322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",800,39.27309858,69.81884192,109.0919405,157.0923943,213.8202034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",825,40.50038291,72.00068073,112.5010636,162.0015317,220.5020847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",850,41.72766724,74.18251954,115.9101868,166.910669,227.1839661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",875,42.95495157,76.36435835,119.3193099,171.8198063,233.8658475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",900,44.1822359,78.54619716,122.7284331,176.7289436,240.5477288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",925,45.40952024,80.72803597,126.1375562,181.6380809,247.2296102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",950,46.63680457,82.90987478,129.5466794,186.5472183,253.9114915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",959.9808512,47.12677826,83.78093913,130.9077174,188.507113,256.5791261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",975,47.8640889,85.09171359,132.9558025,191.4563556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1000,49.09137323,87.2735524,136.3649256,196.3654929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1025,50.31865756,89.45539121,139.7740488,201.2746302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1050,51.54594189,91.63723002,143.1831719,206.1837676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1075,52.77322622,93.81906883,146.5922951,211.0929049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1100,54.00051055,96.00090764,150.0014182,216.0020422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1125,55.22779488,98.18274646,153.4105413,220.9111795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1150,56.45507921,100.3645853,156.8196645,225.8203168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1175,57.68236354,102.5464241,160.2287876,230.7294542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1200,58.90964787,104.7282629,163.6379108,235.6385915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
