District,DistrictABV,Matrix,SDImax,RD,QMD,TPA,BAPA,CordsPerAcre,VBAR,Acres
Ashland East,AE,S1A-P,347.2333333,0.302,6.897266911,326.2516042,72.69791748,12.67916116,0.174408863,493.1721563
Ashland East,AE,S1B-N,345.7407407,0.283684211,8.619258071,112.527881,35.54697917,7.466313498,0.210040731,3552.433796
Ashland East,AE,S1B-P,313.1764706,0.213076923,7.251567738,185.3559628,43.20825225,7.26574582,0.168156439,3833.895834
Ashland East,AE,S1C-N,371.625,0.264,8.443475648,57.57989358,28.57201298,7.96749755,0.27885671,1832.796011
Ashland East,AE,S1D-N,289.2857143,0.1025,7.552581549,46.80906769,16.93230259,3.51431079,0.207550673,915.4787919
Ashland East,AE,S1D-P,348,0.316666667,12.33229139,248.2865588,49.37719042,6.237546296,0.126324447,690.9481869
Ashland East,AE,S2A-N,353.05,0.673939394,7.334129217,266.7037555,65.34742703,12.59243424,0.192699771,2390.605339
Ashland East,AE,S2A-P,317,0.58,6.055472646,492.4914887,99.12228701,17.106383,0.172578575,614.4017039
Ashland East,AE,S2B-N,339.0909091,0.51875,7.482235749,305.0298162,70.45177792,12.43315858,0.17647757,2325.3261
Ashland East,AE,S2B-P,365.9230769,0.487307692,6.721905665,500.3191621,108.5041149,18.26916648,0.168373029,903.9500334
Ashland East,AE,S2C-N,320,0.468333333,9.831051432,94.25301511,33.56175267,7.15663058,0.213237689,3096.736366
Ashland East,AE,S2C-P,342.5,0.438,6.060229207,435.6954262,86.90639225,12.4780298,0.143580115,1344.277894
Ashland East,AE,S3A-N,378.3030303,0.57,8.431821293,393.0476899,135.5549159,29.8946886,0.220535629,3718.374757
Ashland East,AE,S3A-P,379,0.497142857,6.812133647,559.7069456,123.8172202,20.7909556,0.167916511,35.32586417
Ashland East,AE,S3B-N,371.3170732,0.5225,9.458845002,271.0818042,107.8257804,26.639004,0.247055982,3584.002901
Ashland East,AE,S3B-P,362.4,0.592,6.551287583,568.5209971,134.420761,24.05715516,0.178969044,804.6248637
Ashland East,AE,S3C-N,343.0769231,0.350810811,7.997378572,269.6835795,96.15752591,20.62236203,0.214464358,5755.777563
Ashland East,AE,S3C-P,360.8947368,0.486176471,5.989402716,553.175719,109.5253045,19.18437456,0.17515929,1563.513433
Ashland East,AE,S3D-N,353.1935484,0.489423077,7.661272356,252.5157661,66.46607711,12.28381345,0.184813276,6938.012629
Ashland East,AE,S3D-P,342.9285714,0.499285714,6.596046316,505.9790158,108.8819939,19.50229294,0.179114032,851.2139203
Ashland East,AE,S4A-N,383.9285714,0.630714286,9.224167133,334.6180047,153.8819343,40.82876895,0.265325291,5934.948336
Ashland East,AE,S4B-N,403.3968254,0.527619048,11.31517613,223.7830725,148.9623102,36.07107028,0.242148972,10215.35566
